Name,Email,Age,"Feeling nervous, anxious or on edge",Not being able to stop or control worrying,Worrying too much about different things,Trouble relaxing,Being so restless that it is hard to sit still,Becoming easily annoyed or irritable,Feeling afraid as if something awful might happen,Feeling tired or having little energy,Poor appetite or overeating,Feeling bad about yourself—or that you are a failure,Trouble concentrating on things,Moving or speaking so slowly that other people could have noticed,Thoughts that you would be better off dead or of hurting yourself in some way,Anxiety_Score,Stress_Score,Anxiety_Level,Stress_Level
Kerri Wiggins,hcastro@example.org,18,Several days,Several days,Not at all,Nearly every day,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Nearly every day,More than half the days,Not at all,5,3,Low,Low
Angela Rose,afowler@example.com,21,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Not at all,Several days,Not at all,Several days,Nearly every day,3,2,Low,Low
Valerie Smith,cassandrabailey@example.org,17,Not at all,Several days,Several days,Several days,Not at all,Not at all,Several days,More than half the days,Not at all,Nearly every day,More than half the days,Several days,Several days,4,2,Low,Low
Shannon Johnson,ksingh@example.com,19,Several days,Not at all,Not at all,More than half the days,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Nearly every day,Several days,Nearly every day,3,1,Low,Low
Jeffery Thomas,mdodson@example.com,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Several days,More than half the days,0,1,Low,Low
Taylor Bailey,emilymyers@example.com,17,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,Not at all,More than half the days,More than half the days,Several days,More than half the days,More than half the days,Not at all,2,5,Low,Low
Brittany Mullins,abuchanan@example.net,19,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,Several days,Not at all,Nearly every day,Nearly every day,Not at all,More than half the days,3,5,Low,Low
Joshua Black,joneschristina@example.com,19,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,More than half the days,Several days,Not at all,Nearly every day,0,5,Low,Low
Jonathan Stewart,ocummings@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,More than half the days,Nearly every day,Not at all,Nearly every day,Several days,More than half the days,2,1,Low,Low
Holly Kelly,brenda40@example.net,20,Not at all,Several days,Not at all,Several days,Not at all,Not at all,Several days,Several days,Nearly every day,Nearly every day,Several days,Several days,Several days,3,4,Low,Low
Kayla Lowery,caitlincampbell@example.org,18,Not at all,Not at all,Several days,More than half the days,Several days,Not at all,Several days,Nearly every day,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,5,3,Low,Low
Jay Campbell,kellycourtney@example.org,21,Not at all,Several days,More than half the days,Several days,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Nearly every day,Several days,5,1,Low,Low
Amber Williams,pbowman@example.net,21,Not at all,Not at all,More than half the days,Not at all,More than half the days,Not at all,Several days,Several days,Nearly every day,More than half the days,Several days,More than half the days,Not at all,5,4,Low,Low
Julie Wilson,griffinalexandria@example.org,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Nearly every day,Nearly every day,0,4,Low,Low
Tasha Thompson,jarvisthomas@example.net,20,Several days,Not at all,Several days,Not at all,Several days,Not at all,Several days,Nearly every day,More than half the days,More than half the days,Several days,Several days,Not at all,4,1,Low,Low
Spencer Austin DDS,deborah36@example.org,19,Several days,Not at all,More than half the days,Several days,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Several days,Nearly every day,More than half the days,4,0,Low,Low
Matthew Ortiz,bakerapril@example.com,18,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Nearly every day,Several days,Not at all,Not at all,More than half the days,Nearly every day,2,0,Low,Low
Amy Erickson,jennifer95@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Not at all,Nearly every day,Several days,Nearly every day,0,2,Low,Low
Anthony Sanchez,emilydaugherty@example.org,20,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Several days,Not at all,More than half the days,Nearly every day,Several days,2,3,Low,Low
Jordan Charles DDS,bruce43@example.com,19,Not at all,Not at all,More than half the days,Not at all,Several days,More than half the days,Not at all,Nearly every day,Not at all,Nearly every day,More than half the days,Nearly every day,More than half the days,5,2,Low,Low
Debra Price,jtaylor@example.net,21,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Several days,Nearly every day,More than half the days,Not at all,Nearly every day,1,4,Low,Low
Makayla Dudley,dadams@example.net,20,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,More than half the days,More than half the days,Not at all,More than half the days,Not at all,Several days,1,3,Low,Low
Timothy Willis,bgutierrez@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,Not at all,More than half the days,Nearly every day,0,0,Low,Low
Joshua Butler,qgregory@example.org,21,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Nearly every day,Several days,Nearly every day,Nearly every day,1,0,Low,Low
David Bryant,aaron59@example.net,20,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,2,0,Low,Low
Luis Higgins,ckelley@example.com,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Nearly every day,Nearly every day,Several days,0,1,Low,Low
Kelly Walker,danielsummers@example.org,19,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,More than half the days,More than half the days,Several days,Nearly every day,1,2,Low,Low
Nancy Taylor,jessemay@example.com,17,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,Several days,Nearly every day,1,1,Low,Low
Belinda Callahan,john47@example.net,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,Several days,Nearly every day,Not at all,1,4,Low,Low
Dylan Jackson,darrellmullins@example.org,18,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,More than half the days,More than half the days,Nearly every day,Several days,More than half the days,1,5,Low,Low
Sarah Young,icruz@example.net,19,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,More than half the days,Not at all,Several days,Not at all,1,0,Low,Low
Jay Sanchez,orrmelanie@example.org,20,More than half the days,Not at all,More than half the days,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Several days,Nearly every day,Not at all,4,4,Low,Low
William Carney,loretta82@example.org,19,Not at all,More than half the days,Not at all,Several days,Not at all,Several days,Not at all,Several days,Several days,Not at all,More than half the days,Not at all,Several days,4,2,Low,Low
Shawn Macdonald,trujillokevin@example.net,21,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,Several days,Nearly every day,1,5,Low,Low
Mr. Bryan Reed,xbennett@example.net,18,More than half the days,More than half the days,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,More than half the days,Several days,Several days,Not at all,5,3,Low,Low
Paula Hines,alexander17@example.com,17,Not at all,Nearly every day,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Several days,Nearly every day,Several days,Several days,Several days,5,4,Low,Low
Teresa Martinez,jacqueline11@example.org,19,Not at all,Not at all,Several days,Several days,Not at all,Several days,Several days,Not at all,Several days,Several days,Several days,Not at all,Not at all,4,1,Low,Low
Nicole Pace,agriffin@example.org,18,Several days,Several days,Not at all,Several days,Not at all,Several days,Not at all,Several days,Not at all,Not at all,More than half the days,Several days,Nearly every day,4,1,Low,Low
Katherine Mendoza,zkim@example.org,19,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,Not at all,More than half the days,Nearly every day,Not at all,Nearly every day,Nearly every day,Nearly every day,3,1,Low,Low
Thomas Wagner,jonesjay@example.org,19,Several days,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,More than half the days,Nearly every day,More than half the days,Nearly every day,Not at all,More than half the days,4,0,Low,Low
Brian Cooper,berrysheryl@example.com,17,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,More than half the days,Not at all,Nearly every day,More than half the days,Nearly every day,Not at all,4,5,Low,Low
Natalie Randolph,villanuevamonica@example.net,17,Not at all,Nearly every day,Several days,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,Not at all,More than half the days,More than half the days,4,4,Low,Low
Christopher Simmons,gsmith@example.org,19,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Nearly every day,More than half the days,More than half the days,Not at all,Several days,2,4,Low,Low
Crystal Norton,rogersrodney@example.com,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Not at all,More than half the days,Not at all,0,3,Low,Low
Brittney Marshall,qortiz@example.com,20,Not at all,Not at all,Nearly every day,Several days,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,Several days,Several days,4,2,Low,Low
Denise Farmer,kellykimberly@example.org,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Not at all,More than half the days,More than half the days,0,1,Low,Low
Maria Greene,dbenjamin@example.org,17,Several days,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Several days,More than half the days,More than half the days,Nearly every day,Nearly every day,Nearly every day,3,0,Low,Low
Anna Padilla,davidpalmer@example.org,17,Not at all,Several days,Not at all,Several days,Several days,Not at all,Not at all,Not at all,More than half the days,Several days,More than half the days,Nearly every day,More than half the days,3,5,Low,Low
Maureen Collins,hernandezjanice@example.net,18,Several days,Several days,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Nearly every day,Several days,Not at all,Not at all,Not at all,4,0,Low,Low
Luis Solis,jeremybrown@example.org,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,More than half the days,Nearly every day,Not at all,Several days,Not at all,1,1,Low,Low
Kelly Miller,juliejohnson@example.net,21,Several days,Not at all,Not at all,More than half the days,Not at all,More than half the days,Not at all,Not at all,More than half the days,Several days,More than half the days,Not at all,More than half the days,5,5,Low,Low
Leslie Carey,brandonaguilar@example.com,20,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Nearly every day,Nearly every day,Nearly every day,Not at all,More than half the days,2,3,Low,Low
Cynthia Rosales,olivia94@example.com,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,More than half the days,More than half the days,Not at all,More than half the days,0,3,Low,Low
Catherine Harris,brownmark@example.net,21,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,More than half the days,Several days,Not at all,Nearly every day,2,3,Low,Low
Carolyn Medina DVM,belindarodriguez@example.net,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,More than half the days,More than half the days,More than half the days,0,1,Low,Low
Tom Armstrong,yaguilar@example.org,20,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Not at all,Several days,More than half the days,Several days,Several days,Not at all,Not at all,3,0,Low,Low
Melanie Edwards,sanfordlisa@example.org,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Several days,Not at all,Nearly every day,Nearly every day,0,0,Low,Low
Richard Myers,michaelknight@example.org,18,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Several days,Nearly every day,Several days,Nearly every day,1,3,Low,Low
Sabrina Lewis,tabitha36@example.org,21,Not at all,More than half the days,Not at all,Not at all,Several days,Not at all,More than half the days,Several days,Nearly every day,More than half the days,Not at all,More than half the days,Nearly every day,5,0,Low,Low
David Carter Jr.,rbrooks@example.com,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Several days,Nearly every day,More than half the days,0,4,Low,Low
Steven Velasquez,rburns@example.net,17,More than half the days,Not at all,Not at all,Several days,More than half the days,Not at all,Not at all,Several days,More than half the days,Not at all,Nearly every day,Not at all,Not at all,5,2,Low,Low
Ashley Horton,youngjames@example.org,21,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,More than half the days,Several days,More than half the days,More than half the days,More than half the days,Nearly every day,Several days,3,2,Low,Low
Jeffrey Williams,joneskaren@example.com,18,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,More than half the days,More than half the days,Several days,Nearly every day,1,1,Low,Low
Mary Johnson,joconnor@example.net,17,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,More than half the days,Not at all,Nearly every day,Nearly every day,Nearly every day,Not at all,1,3,Low,Low
Jessica Morales,thomas24@example.net,17,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,More than half the days,Several days,Not at all,Not at all,1,1,Low,Low
Garrett Carpenter,virginia99@example.org,19,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Several days,Not at all,Not at all,0,0,Low,Low
Michelle Richardson,tuckersarah@example.com,21,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,Not at all,Several days,Several days,Nearly every day,More than half the days,Nearly every day,Not at all,4,2,Low,Low
Jason Morales,rsaunders@example.net,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Nearly every day,0,1,Low,Low
Jody Smith,josephjohnson@example.com,17,Several days,Not at all,Several days,Not at all,Not at all,More than half the days,Several days,Nearly every day,Several days,More than half the days,Not at all,More than half the days,Several days,5,4,Low,Low
Thomas Flores,pennywilliams@example.com,20,Several days,Several days,Several days,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,More than half the days,Nearly every day,Nearly every day,Several days,4,2,Low,Low
Bradley Barajas,xweber@example.com,21,Not at all,More than half the days,Not at all,Several days,Several days,Not at all,Several days,More than half the days,More than half the days,Not at all,Nearly every day,Several days,Nearly every day,5,2,Low,Low
Kimberly Austin,ryannichols@example.net,17,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,Several days,Several days,More than half the days,1,2,Low,Low
Wesley Fields,mark63@example.org,20,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Not at all,Several days,More than half the days,More than half the days,Several days,Not at all,Several days,2,3,Low,Low
Kenneth Williams,hooveramber@example.org,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Several days,Not at all,Not at all,More than half the days,0,3,Low,Low
Kevin Bishop,fosterjonathan@example.org,21,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,Not at all,More than half the days,Several days,Nearly every day,Several days,Several days,More than half the days,2,2,Low,Low
Marco Jackson,chadwells@example.org,17,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Not at all,Several days,Several days,Not at all,Nearly every day,1,4,Low,Low
Tara Reeves,josephbrown@example.org,17,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Several days,Nearly every day,Not at all,Not at all,Not at all,More than half the days,1,3,Low,Low
Colleen Davis,patricknelson@example.org,21,More than half the days,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,Not at all,Not at all,Nearly every day,Nearly every day,3,2,Low,Low
William King,brittany30@example.net,19,Not at all,Several days,Several days,Not at all,Several days,More than half the days,Not at all,Not at all,Nearly every day,Several days,More than half the days,Nearly every day,Nearly every day,5,2,Low,Low
Amanda Murray,wbarr@example.com,20,Not at all,Several days,Nearly every day,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Several days,Not at all,Not at all,4,1,Low,Low
Autumn Small,delacruzmichael@example.net,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Nearly every day,Several days,More than half the days,Not at all,Several days,0,4,Low,Low
Mark Cox,trich@example.com,17,Several days,More than half the days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Several days,Several days,3,5,Low,Low
George Williams,jonesgarrett@example.net,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Several days,Not at all,More than half the days,More than half the days,0,3,Low,Low
Jason Brooks,justin08@example.org,17,Not at all,Not at all,More than half the days,Several days,Not at all,Not at all,Several days,More than half the days,More than half the days,Nearly every day,Not at all,Several days,Several days,4,2,Low,Low
Caroline Ferguson,elizabeth04@example.org,21,Several days,Not at all,Several days,Not at all,Not at all,More than half the days,Not at all,Not at all,More than half the days,More than half the days,Not at all,Nearly every day,Nearly every day,4,2,Low,Low
Paul Smith,ophillips@example.org,19,Not at all,Several days,Not at all,Several days,More than half the days,Not at all,Not at all,Several days,Nearly every day,Not at all,More than half the days,Nearly every day,More than half the days,4,5,Low,Low
Robert Fernandez,nicolehuang@example.org,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,More than half the days,More than half the days,More than half the days,Nearly every day,Several days,1,1,Low,Low
Eduardo Gonzalez,danielsbarbara@example.net,19,More than half the days,Not at all,Nearly every day,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Several days,Nearly every day,More than half the days,5,4,Low,Low
Amber Butler,kaitlinnolan@example.net,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Not at all,Nearly every day,Not at all,Nearly every day,0,2,Low,Low
Courtney Bryant,hmartin@example.net,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Several days,More than half the days,Not at all,Nearly every day,0,4,Low,Low
Christina Wilson,williamshannah@example.com,19,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Not at all,Nearly every day,More than half the days,More than half the days,Several days,Nearly every day,More than half the days,3,0,Low,Low
Benjamin Pugh,nrose@example.org,19,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Several days,More than half the days,Several days,Nearly every day,Several days,More than half the days,More than half the days,3,4,Low,Low
Debra Carter,kimmichelle@example.com,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Not at all,Nearly every day,Several days,Several days,0,5,Low,Low
Nicholas Padilla,wward@example.net,20,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,More than half the days,Several days,Nearly every day,Nearly every day,Not at all,Several days,2,5,Low,Low
Johnny Johnson,yherrera@example.org,19,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Not at all,Not at all,Not at all,Not at all,Nearly every day,0,0,Low,Low
Carly Mullins,richardross@example.net,19,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,0,0,Low,Low
Hector Harris,erichuff@example.net,19,Not at all,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Several days,Not at all,More than half the days,Nearly every day,Nearly every day,Several days,2,5,Low,Low
David Miranda,ldouglas@example.org,17,Not at all,Not at all,Several days,Several days,Several days,Not at all,Several days,Not at all,Several days,More than half the days,Not at all,Several days,Not at all,4,3,Low,Low
Cory Freeman,john99@example.org,21,Not at all,Several days,Several days,More than half the days,Not at all,Not at all,Several days,More than half the days,Nearly every day,Not at all,Not at all,Not at all,More than half the days,5,4,Low,Low
Savannah Thompson,johnsonjustin@example.com,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Not at all,Several days,More than half the days,Several days,0,1,Low,Low
Alex Collins,grahammary@example.net,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,More than half the days,Not at all,Not at all,More than half the days,Not at all,0,5,Low,Low
Jill Williams,lori49@example.com,17,More than half the days,Not at all,Several days,Not at all,Not at all,Not at all,Several days,More than half the days,Nearly every day,More than half the days,Not at all,Nearly every day,Nearly every day,4,2,Low,Low
Joshua Hurst,lindsey06@example.net,21,Not at all,Several days,Not at all,Not at all,More than half the days,Several days,Several days,Not at all,Nearly every day,Nearly every day,Nearly every day,Several days,Several days,5,4,Low,Low
Julie Dennis,jennifer56@example.net,20,Several days,More than half the days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Nearly every day,Several days,More than half the days,4,0,Low,Low
Anna Sandoval,kennedyryan@example.net,17,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,Nearly every day,Nearly every day,Not at all,Not at all,Nearly every day,1,2,Low,Low
Jo Valentine,alexa63@example.com,19,Several days,Not at all,Not at all,Several days,Not at all,Several days,Not at all,Not at all,Several days,Nearly every day,More than half the days,Several days,More than half the days,3,3,Low,Low
Tiffany Hammond,brittany65@example.org,19,Not at all,Not at all,Several days,Not at all,Several days,Not at all,More than half the days,Not at all,More than half the days,Nearly every day,Nearly every day,Not at all,Nearly every day,4,2,Low,Low
Kimberly Mckay,bbarnes@example.net,20,Not at all,Not at all,More than half the days,Not at all,Several days,Not at all,More than half the days,Not at all,Several days,Not at all,Not at all,Several days,Nearly every day,5,5,Low,Low
Joshua Gonzalez,qhahn@example.org,20,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Several days,Nearly every day,More than half the days,Several days,0,0,Low,Low
Kenneth King,bpope@example.com,17,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Nearly every day,Several days,Several days,More than half the days,More than half the days,Nearly every day,Not at all,3,0,Low,Low
Melanie Sanders,colleenjacobs@example.com,20,More than half the days,Not at all,Not at all,Not at all,Several days,Several days,Not at all,Several days,Several days,Not at all,Not at all,Several days,Nearly every day,4,5,Low,Low
Beth Schmidt,popehannah@example.net,17,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,1,2,Low,Low
Mary Jones,brendanwiley@example.org,20,Not at all,Several days,Several days,Not at all,Not at all,More than half the days,Not at all,Not at all,More than half the days,Not at all,Several days,Several days,Nearly every day,4,5,Low,Low
Randy Mcintosh,qholloway@example.com,18,Not at all,Not at all,Several days,Several days,Several days,Not at all,Several days,Nearly every day,More than half the days,Nearly every day,More than half the days,More than half the days,Nearly every day,4,4,Low,Low
Mark Cole,christine42@example.com,19,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Nearly every day,More than half the days,Not at all,Several days,Not at all,Not at all,2,4,Low,Low
Linda Davis,joseph16@example.net,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,More than half the days,Nearly every day,Not at all,Several days,0,4,Low,Low
Crystal Blankenship,elizabeth59@example.org,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,More than half the days,Not at all,More than half the days,Nearly every day,Not at all,0,2,Low,Low
Scott Davies,tuckerangela@example.org,17,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Nearly every day,More than half the days,Nearly every day,Several days,Several days,Nearly every day,3,3,Low,Low
Michele Tran,orrjessica@example.net,17,Several days,Not at all,Not at all,Not at all,More than half the days,Not at all,Several days,Several days,Nearly every day,Nearly every day,Not at all,Several days,Nearly every day,4,5,Low,Low
Cheyenne Gomez,omar00@example.net,20,More than half the days,Not at all,Several days,Several days,Not at all,Several days,Not at all,More than half the days,More than half the days,Several days,Several days,Several days,More than half the days,5,5,Low,Low
Stephen Richardson,tclayton@example.net,18,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Several days,More than half the days,Not at all,Not at all,Several days,0,5,Low,Low
Jessica Warren,collierkaitlin@example.com,20,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,Several days,Several days,Not at all,Not at all,1,1,Low,Low
Julia Lynch,annettesilva@example.org,21,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,More than half the days,Several days,0,4,Low,Low
